id,code,name
0,grf,[PAUL]
1,pig,[LAW]
2,pgn,[KING]
3,cml,[YOSHIMITSU]
4,snk,[HWOARANG]
5,rat,[XIAYOU]
6,ant,[JIN]
7,cht,[BRYAN]
8,grl,[KAZUYA]
9,bsn,[STEVE]
10,ccn,[JACK8]
11,der,[ASUKA]
12,swl,[DEVIL_JIN]
13,klw,[FENG]
14,hms,[LILI]
15,kmd,[DRAGUNOV]
16,ghp,[LEO]
17,lzd,[LARS]
18,mnt,[ALISA]
19,ctr,[CLAUDIO]
20,hrs,[SHAHEEN]
21,kal,[NINA]
22,wlf,[LEE]
23,rbt,[KUMA]
24,ttr,[PANDA]
25,crw,[ZAFINA]
26,jly,[LEROY]
27,aml,[JUN]
28,zbr,[REINA]
29,cat,[AZUCENA]
30,lon,[VICTOR]
31,bbn,[RAVEN]
32,got,[AZAZEL]
33,dog,[EDDY]
34,cbr,[LIDIA]
35,bee,[HEIHACHI]
36,okm,[CLIVE]
37,kgr,[ANNA]
38,tgr,[FAHKUMRAM]
39,knk,[ARMOR_KING]
40,wkz,[MIARY_ZO]
41,ker,[KUNIMITSU]
42,usi,[BOB]
116,test,[DUMMY]
117,xxa,[ANGEL_JIN]
118,xxb,[TRUE_DEVIL_KAZUYA]
119,xxc,[JACK7]
120,xxd,[SOLDIER]
121,xxe,[DEVIL_JIN_2]
122,xxf,[TEKKEN_MONK]
123,xxg,[SEIRYU]
128,test,[DUMMY]
